video_id,title,channel_id,channel_name,view_count,observed_comments,in_observed_network
UDFS8gl80h8,#AprendeConCONRED qué es el Sistema CONRED y quienes lo conforman.,UC6SA1dVHvAkc6yNS_t5cbGw,Conred,521,0,False
UTf26hS1UJ8,🚦💙 PROVIAL: Proteger y Servir,UCuKuUrmHoNaJJHE27Aac9PQ,PROVIAL-CIV,38,0,False
UcvHq8j-J38,"Ministerio de Comunicaciones, Infraestructura y Vivienda y los Consejos de Desarrollo",UCJJ071vIw7Bu8lJmXfiVrKw,Ministerio de Finanzas Públicas Guatemala,222,0,False
UhL9y3KUl8E,SHAI WA: la vecina queer de Casa Presidencial,UCE4rsXcgDb6e1-a9iTbWzfg,Quorum,1755,1,True
UzeOcBM9cuU,Conred Podcast Episodio 04: Amenaza sísmica y volcánica en Guatemala,UC6SA1dVHvAkc6yNS_t5cbGw,Conred,127,0,False
VfBrLONPnFM,ME quité el MIEDO de viajar en los buses de GUATEMALA 🔥,UCDfEVbDrimcKw5lfbps915g,De todo Gt,329489,0,False
VgcpKa1h_2Q,CONQUISTA LA CIUDAD / 21K BAM de la Municipalidad de Guatemala,UC_nkMVSKgO9PeEaZ3LbPodg,21KMuniGuate,3110,0,False
VuIl4tjeKGQ,La ciudad sigue modernizándose para ti y tu familia.,UCXa6LVjBzUtmcM3cwbd9e2w,Municipalidad de Guatemala,39168,0,False
W415t12o3DA,Mujer con crisis nerviosa tras intento de asalto,UCt5Dw7ePnn0AqPqRF8Xpjkw,TN23 Guatemala,4737,0,False
WIUZtitfLRw,Caminar en una ciudad hecha para carros,UCE4rsXcgDb6e1-a9iTbWzfg,Quorum,422,6,True
WQcgx8rs0Qo,"PMT SE BURL4 DE UN MOTORISTA D1SC4PACIT4D0, DISCULPESE POR FAVOR VILLA NUEVA, GUATEMALA.",UCH1AYkCs1GpNK_xUwFYTsaQ,Cronos Time GT,1861,0,False
WXA2Apo79jA,Resumen de atención a Emergencias CIV,UCAutgrPkiLhZxTB-Ujje1fw,CIV -Ministerio de Comunicaciones,29,0,False
WXgGL9rZUHo,#EnvivoDCA | Conferencia de prensa del Gobierno de Guatemala,UCaivrAhro2BpsJdrPe-IyRg,Diario de Centro América,190,0,False
XLkVzqqL34Q,Nueva Mega Autopista Xochi en Guatemala 🇬🇹 ¿Vale la pena? (Te ahorra hasta 3 horas),UCkXkEfAaEGxUaIT6TBBkwMw,One Life,44510,0,False
